,treatment_effects_0.2_16_100_256_0.01_4.0_60,treatment_effects_0.2_16_100_128_0.001_0.5_60,treatment_effects_0.1_12_100_128_0.01_2.0_60,treatment_effects_0.3_8_100_64_0.01_0.5_60,treatment_effects_0.1_2_100_256_0.01_4.0_60,treatment_effects_0.3_8_100_256_0.005_0.5_60,treatment_effects_0.2_12_100_64_0.01_0.5_60,treatment_effects_0.1_12_100_128_0.005_4.0_60,treatment_effects_0.2_8_100_64_0.005_4.0_60,treatment_effects_0.1_12_100_256_0.001_4.0_60,treatment_effects_0.2_8_100_128_0.001_4.0_60,treatment_effects_0.3_8_100_128_0.001_4.0_60,treatment_effects_0.1_8_100_256_0.005_0.5_60,treatment_effects_0.2_12_100_256_0.01_1.0_60,treatment_effects_0.2_2_100_64_0.001_4.0_60,treatment_effects_0.2_16_100_256_0.001_2.0_60,treatment_effects_0.3_2_100_64_0.01_1.0_60,treatment_effects_0.3_16_100_128_0.001_2.0_60,treatment_effects_0.3_2_100_64_0.01_4.0_60,treatment_effects_0.1_4_100_128_0.005_0.5_60,treatment_effects_0.3_2_100_256_0.01_0.5_60,treatment_effects_0.2_16_100_256_0.01_2.0_60,treatment_effects_0.2_8_100_128_0.01_0.5_60,treatment_effects_0.2_16_100_128_0.005_0.5_60,treatment_effects_0.2_16_100_64_0.01_0.5_60,treatment_effects_0.1_2_100_256_0.005_2.0_60,treatment_effects_0.3_16_100_128_0.01_4.0_60,treatment_effects_0.2_16_100_128_0.01_1.0_60,treatment_effects_0.4_2_100_64_0.01_4.0_60,treatment_effects_0.2_16_100_256_0.001_0.5_60,treatment_effects_0.2_8_100_64_0.005_1.0_60,treatment_effects_0.2_2_100_256_0.001_0.5_60,treatment_effects_0.1_12_100_64_0.001_0.5_60,treatment_effects_0.3_16_100_128_0.01_1.0_60,treatment_effects_0.2_4_100_128_0.01_1.0_60,treatment_effects_0.1_8_100_256_0.01_0.5_60,treatment_effects_0.2_12_100_128_0.01_1.0_60,treatment_effects_0.2_8_100_64_0.01_0.5_60,treatment_effects_0.2_2_100_256_0.01_1.0_60,treatment_effects_0.3_8_100_128_0.01_4.0_60,treatment_effects_0.3_8_100_128_0.005_4.0_60,treatment_effects_0.3_2_100_64_0.001_4.0_60,treatment_effects_0.1_12_100_64_0.005_0.5_60,treatment_effects_0.1_2_100_64_0.001_4.0_60,treatment_effects_0.1_12_100_128_0.01_4.0_60,treatment_effects_0.2_2_100_256_0.005_2.0_60,treatment_effects_0.1_8_100_256_0.001_4.0_60,treatment_effects_0.2_12_100_256_0.01_4.0_60,treatment_effects_0.2_4_100_64_0.001_0.5_60,treatment_effects_0.2_8_100_128_0.005_0.5_60
best_epoch,74.0,72.0,66.0,38.0,74.0,60.0,57.0,86.0,51.0,99.0,77.0,94.0,71.0,67.0,99.0,87.0,45.0,50.0,15.0,85.0,96.0,41.0,19.0,99.0,16.0,68.0,75.0,62.0,21.0,84.0,80.0,96.0,88.0,84.0,82.0,32.0,18.0,77.0,52.0,28.0,73.0,89.0,100.0,91.0,83.0,50.0,100.0,83.0,55.0,26.0
validation_loss,514.3631670064558,1667.4385974145891,262.7801837324712,805.8676224032574,501.6182548081852,1549.8614884991946,511.8442025253838,276.55077838802447,877.3595505564291,893.6610880323085,2049.2437241363255,5468.608391214812,364.900939202105,608.3937530665754,3597.4574479709313,2358.156696111597,3822.6537585973774,3516.361866274831,3974.6734328527227,314.3823325812954,4984.2967827579105,777.8717182719388,591.451217352519,901.905930318962,516.3878732843787,498.3320130893212,1876.5096802708304,602.308925511311,8527.516628884396,1629.8184160627961,895.1622250853627,4300.319959011175,474.41438021408135,2046.0067380585133,540.48858168196,324.7934589625324,541.7196241687594,438.8286824278409,1735.5578134554125,2647.5192142364144,2873.0701471633174,7246.840007411209,267.1229222959692,1043.3591773532282,250.4078492975647,1883.418064141133,1040.0131380261898,703.9996159860243,2000.9101645188687,628.4554259620206
