,treatment_effects_0.2_16_100_256_0.005_4.0_60,treatment_effects_0.3_2_100_512_0.01_4.0_60,treatment_effects_0.5_8_100_512_0.001_0.5_60,treatment_effects_0.5_4_100_256_0.01_0.5_60,treatment_effects_0.1_2_100_256_0.001_1.0_60,treatment_effects_0.5_8_100_1024_0.0001_1.0_60,treatment_effects_0.2_2_100_256_0.01_0.5_60,treatment_effects_0.4_4_100_256_0.01_4.0_60,treatment_effects_0.4_8_100_512_0.0001_0.5_60,treatment_effects_0.1_4_100_256_0.01_0.5_60,treatment_effects_0.3_32_100_256_0.005_1.0_60,treatment_effects_0.3_16_100_256_0.005_4.0_60,treatment_effects_0.4_16_100_256_0.001_2.0_60,treatment_effects_0.2_4_100_512_0.0001_1.0_60,treatment_effects_0.4_8_100_1024_0.001_1.0_60,treatment_effects_0.4_16_100_512_0.005_1.0_60,treatment_effects_0.5_4_100_1024_0.001_0.5_60,treatment_effects_0.1_16_100_1024_0.005_1.0_60,treatment_effects_0.5_16_100_256_0.0001_4.0_60,treatment_effects_0.4_4_100_512_0.001_0.5_60
best_epoch,35.0,12.0,8.0,1.0,75.0,40.0,34.0,7.0,94.0,5.0,40.0,43.0,19.0,89.0,5.0,37.0,13.0,78.0,91.0,23.0
validation_loss,1179.126227837473,5489.518312360548,3611.213371436601,3992.3154253717,1650.9940764642038,4898.929424464895,1930.7362476678968,3907.116537304839,4276.065920443553,1063.500313979461,1347.3772119681835,1676.6585875129936,2358.410633615905,2721.168272672457,2263.224061578204,2352.7827588745445,3245.849409691243,840.6028795416757,4045.463353244064,1843.170805223617
